"Fnum","Time","Source","Destination","Protocol","Length","Info"
"6907","6.686918","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=320, ID=00a0)"
"6908","6.686932","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=336, ID=00a0)"
"6909","6.686946","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=352, ID=00a0)"
"6910","6.686960","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=368, ID=00a0)"
"6911","6.686973","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=384, ID=00a0)"
"6912","6.686986","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=400, ID=00a0)"
"6913","6.686999","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=416, ID=00a0)"
"6914","6.687011","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=432, ID=00a0)"
"6915","6.687025","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=448, ID=00a0)"
"6916","6.687040","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=464, ID=00a0)"
"6917","6.687055","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=480, ID=00a0)"
"6918","6.687068","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=496, ID=00a0)"
"6919","6.687082","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=512, ID=00a0)"
"6920","6.687095","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=528, ID=00a0)"
"6921","6.687108","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=544, ID=00a0)"
"6922","6.687121","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=560, ID=00a0)"
"6923","6.687134","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=576, ID=00a0)"
"6924","6.687146","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=592, ID=00a0)"
"6925","6.687160","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=608, ID=00a0)"
"6926","6.687173","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=624, ID=00a0)"
"6927","6.687186","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=640, ID=00a0)"
"6928","6.687198","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=656, ID=00a0)"
"6929","6.687213","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=672, ID=00a0)"
"6930","6.687226","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=688, ID=00a0)"
"6931","6.687239","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=704, ID=00a0)"
"6932","6.687251","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=720, ID=00a0)"
"6933","6.687264","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=736, ID=00a0)"
"6934","6.687278","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=752, ID=00a0)"
"6935","6.687291","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=768, ID=00a0)"
"6936","6.687304","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=784, ID=00a0)"
"6937","6.687317","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=800, ID=00a0)"
"6938","6.687330","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=816, ID=00a0)"
"6939","6.687344","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=832, ID=00a0)"
"6940","6.687357","10.0.0.2","10.128.0.2","IPv4","50","Fragmented IP protocol (proto=TCP 6, off=848, ID=00a0)"
